parameter,date,value,Ticker,Company,Type,Financial Type,Created Date
Revenue,2019-09-30,260174.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2018-09-30,265595.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2017-09-30,229234.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2016-09-30,215639.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2015-09-30,233715.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2014-09-30,182795.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2013-09-30,170910.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2012-09-30,156508.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2011-09-30,108249.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2010-09-30,65225.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2009-09-30,42905.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2008-09-30,37491.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2007-09-30,24578.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2006-09-30,19315.00000,AAPL,apple,income-statement,A,03-16-2020
Revenue,2005-09-30,13931.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2019-09-30,161782.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2018-09-30,163756.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2017-09-30,141048.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2016-09-30,131376.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2015-09-30,140089.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2014-09-30,112258.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2013-09-30,106606.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2012-09-30,87846.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2011-09-30,64431.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2010-09-30,39541.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2009-09-30,25683.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2008-09-30,24294.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2007-09-30,16426.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2006-09-30,13717.00000,AAPL,apple,income-statement,A,03-16-2020
Cost Of Goods Sold,2005-09-30,9889.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2019-09-30,98392.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2018-09-30,101839.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2017-09-30,88186.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2016-09-30,84263.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2015-09-30,93626.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2014-09-30,70537.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2013-09-30,64304.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2012-09-30,68662.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2011-09-30,43818.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2010-09-30,25684.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2009-09-30,17222.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2008-09-30,13197.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2007-09-30,8152.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2006-09-30,5598.00000,AAPL,apple,income-statement,A,03-16-2020
Gross Profit,2005-09-30,4042.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2019-09-30,16217.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2018-09-30,14236.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2017-09-30,11581.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2016-09-30,10045.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2015-09-30,8067.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2014-09-30,6041.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2013-09-30,4475.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2012-09-30,3381.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2011-09-30,2429.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2010-09-30,1782.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2009-09-30,1333.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2008-09-30,1109.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2007-09-30,782.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2006-09-30,712.00000,AAPL,apple,income-statement,A,03-16-2020
Research And Development Expenses,2005-09-30,535.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2019-09-30,18245.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2018-09-30,16705.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2017-09-30,15261.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2016-09-30,14194.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2015-09-30,14329.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2014-09-30,11993.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2013-09-30,10830.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2012-09-30,10040.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2011-09-30,7599.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2010-09-30,5517.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2009-09-30,4149.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2008-09-30,3761.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2007-09-30,2963.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2006-09-30,2433.00000,AAPL,apple,income-statement,A,03-16-2020
SG&A Expenses,2005-09-30,1864.00000,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2019-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2018-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2017-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2016-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2015-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2014-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2013-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2012-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2011-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2010-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2009-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2008-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2007-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2006-09-30,,AAPL,apple,income-statement,A,03-16-2020
Other Operating Income Or Expenses,2005-09-30,,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2019-09-30,196244.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2018-09-30,194697.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2017-09-30,167890.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2016-09-30,155615.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2015-09-30,162485.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2014-09-30,130292.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2013-09-30,121911.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2012-09-30,101267.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2011-09-30,74459.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2010-09-30,46840.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2009-09-30,31165.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2008-09-30,29164.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2007-09-30,20171.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2006-09-30,16862.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Expenses,2005-09-30,12288.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2019-09-30,63930.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2018-09-30,70898.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2017-09-30,61344.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2016-09-30,60024.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2015-09-30,71230.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2014-09-30,52503.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2013-09-30,48999.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2012-09-30,55241.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2011-09-30,33790.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2010-09-30,18385.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2009-09-30,11740.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2008-09-30,8327.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2007-09-30,4407.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2006-09-30,2453.00000,AAPL,apple,income-statement,A,03-16-2020
Operating Income,2005-09-30,1643.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2019-09-30,1807.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2018-09-30,2005.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2017-09-30,2745.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2016-09-30,1348.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2015-09-30,1285.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2014-09-30,980.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2013-09-30,1156.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2012-09-30,522.00000,AAPL,apple,income-statement,A,03-16-2020
Total Non-Operating Income/Expense,2011-09-30,415.00000,AAPL,apple,income-statement,A,03-16-2020
